id	name	placement_count	placement_bin	top_sequences
58	node_58	17	2	aae9716a203136d4ef293bcf7dac7d5d Dryinidae_cluster74; 4b0f01a9f4d07791c3f4f96c0bdb07e6 Dryinidae_cluster21; 2401f4c88244833174f0a4d92ce6fbbc Longidoridae_cluster1; d49c37459d1994bc91295dfea23bdcb7 Hygrobatidae_cluster5; 02e1b8e4f0a1d982ccc894f3ddcd4b51 Dryinidae_cluster24; 8d66efb177dceef0dfd0d6bdef60ffe9 Longidoridae_cluster4; f44e52735c26f826e01821f66fe6d16f Pygmephoridae_cluster28; 3cc477586adaa39f82bdce80514bfdfc Unionicolidae_cluster2; 5e1812d815edb24d014286fafe80eb38 Dryinidae_cluster13; 44dae76a18d7130c93f6699530e8a26f Dryinidae_cluster6; 97e7fbc72186370d7f055f7f97983ead Erythraeidae_cluster6; 51b8b462150386ad246035dfca74ecd3 Ortheziidae_cluster1; 0c054d47528be0e36eaaaf6d34fb388d Longidoridae_cluster3; a7239ee739236df64a13fd57c2db8e05 unclassified.Hemiptera_cluster127; 7fefb19392b01e295cf0f37b4d9ab3f0 unclassified.Hymenoptera_cluster521; ba8727c6559abaee78251736992e48c9 Dryinidae_cluster18; d83f13bcaf07a12f09185f95a6bb8c1f Mononchidae_cluster1
59	Rhopalosiphum_nymphaeae	1	1	0bef2ed6f7f7e7d2fc248637e3962fe5 Aphididae_cluster170
60	Aphis_glycines	0	0	
61	Aphis_gossypii	2	1	620de18f2a15ccd42847fc79b0932996 Aphididae_cluster81; 5366fe017426b5d869e07a0d022f751f Aphididae_cluster260
62	node_62	9	2	c79832b2f62055dc5fea82131eb91062 Aphididae_cluster90; c2b127f8ec31164a8d5423372e72a179 Aphididae_cluster288; 7d983d50fcdbd6ec8d1eb9db74755553 Aphididae_cluster104; c3e51b50d10f9059c9ab6b16c2457c6c Aphididae_cluster129; 3e0ee5e9f6185fec2e1d5151c8d62b07 Aphididae_cluster301; 5366fe017426b5d869e07a0d022f751f Aphididae_cluster260; a4fa655d78d25ceeea6f76372d46c50a Aphididae_cluster276; b5f70ad05848ad2626f42e526c924ac8 Aphididae_cluster319; e91159b2d416c0b181c599b2489cb996 Aphididae_cluster337
63	Aphis_craccivora	0	0	
64	node_64	21	3	ae63cbb8914b7868af12c61702dd85b4 Aphididae_cluster111; 5b06a69643083f4b940df7535824e516 Aphididae_cluster94; 431c4136162f30b381d79d4c79aa396c Aphididae_cluster78; 46b89b720d478d961cffc840e44ef60a Aphididae_cluster231; 4cc2ad1f9230b94c0910947136af7fa9 Aphididae_cluster314; 47a768d4faab73cb845ec84e04f76c66 Aphididae_cluster76; a6d9b4b4df8c5af6b44c2bb1c2308003 Aphididae_cluster167; b4a35f71e5aeda7113039c49fffe19bf Aphididae_cluster110; f28c87a586165799ca916b6056af79a7 Aphididae_cluster285; d933659e569bef2733e285d691cf7455 Aphididae_cluster175; 1713e298e5bde91d25a8d7bca22b574a Aphididae_cluster60; 12092b517a721778bad8f78cb5341e3f Aphididae_cluster71; bcd7ef74ae91070e350a46e8359786d4 Aphididae_cluster114; c4df78d49c67af4bc840985ee8bae0fa Aphididae_cluster323; e91159b2d416c0b181c599b2489cb996 Aphididae_cluster337; b5f70ad05848ad2626f42e526c924ac8 Aphididae_cluster319; adb01881a4934769c959c7aa31fa1677 Aphididae_cluster88; ff5fdac55f4221e8d3ab6f94e73de3bc Aphididae_cluster298; cb70325070531f3958123996a1508f53 Aphididae_cluster255; 3d3218403e748d837399d8435863a0b1 Aphididae_cluster40; a4fa655d78d25ceeea6f76372d46c50a Aphididae_cluster276
65	node_65	6	2	ff5fdac55f4221e8d3ab6f94e73de3bc Aphididae_cluster298; 3d3218403e748d837399d8435863a0b1 Aphididae_cluster40; adb01881a4934769c959c7aa31fa1677 Aphididae_cluster88; c4df78d49c67af4bc840985ee8bae0fa Aphididae_cluster323; 1713e298e5bde91d25a8d7bca22b574a Aphididae_cluster60; a4fa655d78d25ceeea6f76372d46c50a Aphididae_cluster276
66	Melanaphis_sacchari	0	0	
67	Rhopalosiphum_padi	1	1	1833bad1e638344a8c471ed7215736c3 Aphididae_cluster10
68	Schizaphis_graminum	1	1	7e6403af429759e9460aa6bc0917bf41 Aphididae_cluster171
69	node_69	10	2	53beabe0fa45a8d3b9162d497b93fa8d Aphididae_cluster215; e457ee8ecce80c081d6f5520635f3bb6 Aphididae_cluster202; 57389ee596c959ddc8421f7d02bd78ba Aphididae_cluster160; a2cc8389390671f4be928544ed1af9f4 Aphididae_cluster279; d13a14e1950c65fbb1cb6cb2f7525f87 unclassified.Hemiptera_cluster88; a418963722f151edba546c6e82991c78 Aphididae_cluster31; 8f6d76cf33d1b671de7ca4b1dd327c1a Aphididae_cluster207; 3d3218403e748d837399d8435863a0b1 Aphididae_cluster40; 086953e01e00813862ad3bb58d5fca4a unclassified.Hemiptera_cluster157; 47435b6c6a303625107d2818aac5939d Aphididae_cluster254
